"","strata","time","n.risk","n.event","surv","std.err","lower","upper"
"89","TUfin$cluster=3",367,37,1,0.590163934426229,0.0629689573440472,0.478797279679986,0.727434102654542
"90","TUfin$cluster=3",368,36,1,0.573770491803278,0.0633178185030508,0.462173232415192,0.71231424534
"91","TUfin$cluster=3",371,35,1,0.557377049180328,0.0635955295659715,0.445685808913946,0.697058709834205
"92","TUfin$cluster=3",383,34,1,0.540983606557377,0.0638030196101225,0.429333046723838,0.68166954488383
"93","TUfin$cluster=3",388,33,1,0.524590163934426,0.0639409722460115,0.41311344888988,0.666148344567945
"94","TUfin$cluster=3",399,32,1,0.508196721311475,0.0640098370718359,0.397025959557736,0.650496274448715
"95","TUfin$cluster=3",408,31,1,0.491803278688524,0.0640098370718359,0.381069947173991,0.634714090477326
"96","TUfin$cluster=3",409,30,1,0.475409836065574,0.0639409722460115,0.365245194647847,0.61880215137617
"97","TUfin$cluster=3",426,29,1,0.459016393442623,0.0638030196101225,0.34955189611095,0.602760424970479
"98","TUfin$cluster=3",427,28,1,0.442622950819672,0.0635955295659715,0.333990660159957,0.586588488727454
"99","TUfin$cluster=3",442,27,1,0.426229508196721,0.0633178185030508,0.318562519706745,0.570285524564716
"100","TUfin$cluster=3",456,26,1,0.40983606557377,0.0629689573440472,0.303268948810176,0.553850307800955
"101","TUfin$cluster=3",468,25,1,0.39344262295082,0.0625477555777169,0.288111887138105,0.537281189929589
"102","TUfin$cluster=3",494,24,1,0.377049180327869,0.0620527401202028,0.273093773028913,0.520576074690894
"103","TUfin$cluster=3",495,23,1,0.360655737704918,0.0614821280929935,0.258217586513314,0.503732386689208
"104","TUfin$cluster=3",496,22,1,0.344262295081967,0.0608337922791547,0.243486904153216,0.486747031538608
"105","TUfin$cluster=3",506,21,1,0.327868852459016,0.0601052175862099,0.228905968201457,0.46961634621158
"106","TUfin$cluster=3",521,20,1,0.311475409836065,0.0592934462559748,0.214479773451267,0.452336037899577
"107","TUfin$cluster=3",579,19,2,0.278688524590164,0.0574058360619016,0.186116032400704,0.417305767463527
"108","TUfin$cluster=3",591,17,1,0.262295081967213,0.0563211476374296,0.172193370897953,0.399543313807122
"109","TUfin$cluster=3",592,16,1,0.245901639344262,0.0551353064581181,0.158455618056398,0.381606010401435
"110","TUfin$cluster=3",643,15,1,0.229508196721311,0.0538416293871785,0.144913886316707,0.363484919914094
"111","TUfin$cluster=3",648,14,1,0.213114754098361,0.0524321350099745,0.131581353829385,0.345169715104892
"112","TUfin$cluster=3",680,13,1,0.19672131147541,0.050897202262446,0.11847377059797,0.326648457234706
"113","TUfin$cluster=3",735,12,1,0.180327868852459,0.0492250983176947,0.105610146435196,0.307907349648675
"114","TUfin$cluster=3",789,11,1,0.163934426229508,0.0474013090582034,0.0930137071033433,0.288930491431107
"115","TUfin$cluster=3",805,10,1,0.147540983606557,0.0454075608932934,0.0807132585679393,0.269699702747935
"116","TUfin$cluster=3",858,9,1,0.131147540983607,0.0432203396785265,0.0687451954039552,0.250194612219506
"117","TUfin$cluster=3",859,8,1,0.114754098360656,0.0408085484595875,0.0571565711221873,0.230393510877619
"118","TUfin$cluster=3",1007,7,1,0.0983606557377049,0.0381295971999709,0.0460100141599043,0.210276366434646
"119","TUfin$cluster=3",1013,6,1,0.0819672131147541,0.0351224063481957,0.0353920698330983,0.189834165039885
"120","TUfin$cluster=3",1503,5,1,0.0655737704918033,0.0316936801672788,0.0254284616230147,0.169098683210153
"121","TUfin$cluster=3",1516,4,1,0.0491803278688524,0.0276872531538608,0.0163149954347261,0.148250403070274
"122","TUfin$cluster=3",1910,3,1,0.0327868852459016,0.0228005987129378,0.00838994403585575,0.128127176955391
"123","TUfin$cluster=3",2176,2,1,0.0163934426229508,0.0162585148747693,0.00234679154530026,0.114515906438378
"124","TUfin$cluster=3",3042,1,1,0,NA,NA,NA
